STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,AMD EPYC 7402P 24-Core Processor               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,AMD K17 (Zen2) architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.794744901 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,ENERGY,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,Core 32,Core 33,Core 34,Core 35,Core 36,Core 37,Core 38,Core 39,Core 40,Core 41,Core 42,Core 43,Core 44,Core 45,Core 46,Core 47
ACTUAL_CPU_CLOCK,FIXC1,89744591046,256869207167,203660500555,236876074688,258976228635,214973341185,112255231972,256462347719,197975834416,1950111754,257916109820,808374338,258706824790,98935146125,4533883541,169432616181,259104057571,153910957977,134327721672,180998213926,257061302190,170202191652,258663842571,13026685258,173821390414,3486440379,56701533180,23909327739,1452062562,45978275530,149421316588,4583407524,65221233459,258139147046,2453589993,258343664793,1772217294,160744688044,255012756074,90260212657,255901907,107648376954,125180653681,77683742791,457166881,89713430618,1360440712,246708265931
MAX_CPU_CLOCK,FIXC2,167526229668,479492693036,380167461884,442230045908,483491990912,401343678428,209545113736,478729692252,369555215036,3640906864,481443604796,1509373348,482919524528,184679041232,8463362292,316297393804,483697545772,287325482780,250818094128,337978427388,480003668200,317719852548,482852702836,24317423032,324468075456,6508448884,105843926860,44635371592,2711003708,85840932828,278921009780,8556107224,121746306416,481860201312,4580158268,482243472172,3308247628,300056921920,476026035688,168501300632,477972936,200955674668,233743647536,145057833620,853599712,167469684732,2539701304,460531611680
RETIRED_INSTRUCTIONS,PMC0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CPU_CLOCKS_UNHALTED,PMC1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RAPL_CORE_ENERGY,PWR0,102.1719,100.8107,102.8584,101.4236,102.6236,102.8603,99.2702,96.9918,98.7155,97.4980,98.9693,98.5800,89.2037,90.0207,89.4568,90.2211,89.9767,90.8716,103.1565,102.8682,101.9488,102.9193,102.9095,103.1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPL_PKG_ENERGY,PWR1,13134.5535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABLE,Group 1 Raw STAT,ENERGY,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUAL_CPU_CLOCK STAT,FIXC1,6247680639500,255901907,259104057571,1.301600e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX_CPU_CLOCK STAT,FIXC2,11663185770964,477972936,483697545772,2.429830e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETIRED_INSTRUCTIONS STAT,PMC0,0,inf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLOCKS_UNHALTED STAT,PMC1,0,inf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPL_CORE_ENERGY STAT,PWR0,2359.4801,0,103.1565,49.1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPL_PKG_ENERGY STAT,PWR1,13134.5535,0,13134.5535,273.6365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Metric,ENERGY,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,Core 32,Core 33,Core 34,Core 35,Core 36,Core 37,Core 38,Core 39,Core 40,Core 41,Core 42,Core 43,Core 44,Core 45,Core 46,Core 47,
Runtime (RDTSC) [s],174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,174.7535,
Runtime unhalted [s],32.1119,91.9115,72.8727,84.7577,92.6654,76.9206,40.1665,91.7659,70.8386,0.6978,92.2861,0.2892,92.5690,35.4004,1.6223,60.6254,92.7112,55.0716,48.0644,64.7638,91.9802,60.9008,92.5537,4.6611,62.1958,1.2475,20.2886,8.5551,0.5196,16.4517,53.4651,1.6400,23.3371,92.3659,0.8779,92.4391,0.6341,57.5168,91.2472,32.2964,0.0916,38.5181,44.7914,27.7964,0.1636,32.1008,0.4868,88.2758,
Clock [MHz],1497.1580,1497.1738,1497.1801,1496.9770,1496.9689,1496.9605,1497.1704,1497.1848,1497.1835,1496.8976,1497.1841,1496.7801,1497.1844,1497.1839,1497.1648,1497.0751,1497.0714,1497.0544,1496.7489,1496.6749,1496.6985,1497.1419,1497.1428,1497.1267,1497.1779,1497.0866,1497.1697,1497.0296,1496.9159,1496.9263,1497.1782,1497.1125,1497.1847,1497.1833,1497.1444,1497.1787,1497.1356,1497.1839,1497.1778,1497.0464,1496.2783,1497.0951,1496.7166,1496.6875,1496.7962,1497.1435,1497.0598,1497.1538,
CPI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Energy Core [J],102.1719,100.8107,102.8584,101.4236,102.6236,102.8603,99.2702,96.9918,98.7155,97.4980,98.9693,98.5800,89.2037,90.0207,89.4568,90.2211,89.9767,90.8716,103.1565,102.8682,101.9488,102.9193,102.9095,103.1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Power Core [W],0.5847,0.5769,0.5886,0.5804,0.5872,0.5886,0.5681,0.5550,0.5649,0.5579,0.5663,0.5641,0.5105,0.5151,0.5119,0.5163,0.5149,0.5200,0.5903,0.5886,0.5834,0.5889,0.5889,0.5903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Energy PKG [J],13134.5535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Power PKG [W],75.1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TABLE,Group 1 Metric STAT,ENERGY,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,8388.1680,174.7535,174.7535,174.7535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime unhalted [s] STAT,2235.5102,0.0916,92.7112,46.5731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock [MHz] STAT,71857.8488,1496.2783,1497.1848,1497.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI STAT,0,inf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Core [J] STAT,2359.4801,0,103.1565,49.1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Core [W] STAT,13.5018,0,0.5903,0.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy PKG [J] STAT,13134.5535,0,13134.5535,273.6365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power PKG [W] STAT,75.1605,0,75.1605,1.5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
